SCHOOL NAME,ADDRESS,CITY,POSTAL CODE,FSA
Holy Name,690 Carlaw Avenue,Toronto,M4K 3K9,M4K
Holy Rosary,308 Tweedsmuir Avenue,Toronto,M5P 2Y1,M5P
Holy Spirit,3530 Sheppard Avenue East,Scarborough,M1T 3K7,M1T
St Helen,1196 College Street,Toronto,M6H 1B8,M6H
St Henry,100 Bamburgh Circle,Scarborough,M1W 3R3,M1W
Immaculate Conception,23 Comay Road,Toronto,M6M 2K9,M6M
Immaculate Heart of Mary,101 Birchmount Road,Scarborough,M1N 3J7,M1N
St Ignatius of Loyola,2350 McCowan Road,Scarborough,M1S 4B4,M1S
St Isaac Jogues,1330 York Mills Road,Toronto,M3A 1Z8,M3A
James Cardinal McGuigan,1440 Finch Avenue West,Toronto,M3J 3G3,M3J
James Culnan,605 Willard Avenue,Toronto,M6S 3S1,M6S
Jean Vanier,959 Midland Avenue,Scarborough,M1K 4G4,M1K
Josyf Cardinal Slipyj,35 West Deane Park Drive,Toronto,M9B 2R5,M9B
St James,230 Humbercrest Boulevard,Toronto,M6S 4L3,M6S
St Jane Frances,2745 Jane Street,Toronto,M3L 2E8,M3L
St Jean De Brebeuf,101 Dean Park Road,Scarborough,M1B 2X2,M1B
St Jerome,111 Sharpecroft Boulevard,Toronto,M3J 1P5,M3J
St Joachim,3395 St Clair Avenue East,Toronto,M1L 1W3,M1L
St John (Toronto),780 Kingston Road,Toronto,M4E 1R7,M4E
St John Bosco,75 Holmesdale Road,Toronto,M6E 1Y2,M6E
St John Paul II,685 Military Trail,Scarborough,M1E 4P6,M1E
St John the Evangelist,20 Beverly Hills Drive,Toronto,M3L 1A1,M3L
St John Vianney,105 Thistledown Boulevard,Toronto,M9V 1J5,M9V
St John XXIII,175 Grenoble Drive,Toronto,M3C 3E7,M3C
St Josaphat,110 Tenth Street,Toronto,M8V 3G1,M8V
St Joseph,176 Leslie Street,Toronto,M4M 3C7,M4M
St Joseph College,74 Wellesley Street West,Toronto,M5S 1C4,M5S
St Joseph Morrow Park,3379 Bayview Avenue,Toronto,M2M 3S4,M2M
St Jude,3251 Road,Toronto,M9M 2T9,M9M
St Kateri Tekakwitha,70 Margaret Avenue,Toronto,M2J 4C5,M2J
St Kevin,15 Murray Glen Drive,Scarborough,M1R 3J6,M1R
