Index,AreaName,Price ($),lat,lng,Address,City
2995,Downtown,448000,43.649246,-79.375755,#439 - 22 Leader Lane,Toronto
2996,Morningside,365000,43.786888,-79.205353,#197 - 10 Livonia Pl,Toronto
2997,Swansea,538800,43.636292,-79.470467,#2605 - 103 The Queensway Ave,Toronto
2998,Little Italy,999900,43.653435,-79.413155,13 Mansfield Ave,Toronto
2999,Downtown,474500,43.647224,-79.391098,#712 - 21 Widmer St,Toronto
3000,North Toronto,2595000,43.731457,-79.394394,178 Roslin Ave,Toronto
3001,Stockyards District,529000,43.675156,-79.469582,105 Weston Rd,Toronto
3002,Islington - City Centre West,399900,43.609261,-79.558998,#2004 - 235 Sherway Gardens Rd,Toronto
3003,Henry Farm,495000,43.774895,-79.345955,#1608 - 70 FOREST MANOR RD,Toronto
3004,Church and Wellesley,244900,43.66708,-79.383156,#1405 - 30 GLOUCESTER ST,Toronto
3005,St. Andrew - Windfields,2398000,43.751247,-79.397919,283 UPPER HIGHLAND CRES,Toronto
3006,Playter Estates,699000,43.678699,-79.360191,3 Ozark Cres,Toronto
3007,Englemount - Lawrence,448000,43.721115,-79.430847,#806 - 2 COVINGTON RD,Toronto
3008,Downtown,399900,43.656525,-79.355331,#534 - 47 Lower River St,Toronto
3009,Bayview Village,439000,43.767937,-79.387955,#1126 - 2885 BAYVIEW AVE,Toronto
3010,Milliken,319000,43.800648,-79.307007,#1709 - 45 SILVER SPRINGS BLVD,Toronto
3011,Downtown,120000,43.656643,-79.383751,66 EDWARD ST,Toronto
3012,Downtown,389900,43.656731,-79.383461,#203 - 633 Bay St,Toronto
3013,Downtown,49000,43.657974,-79.401749,300 College St,Toronto
3014,Bendale,799999,43.753788,-79.249809,30 Medley Cres,Toronto
3015,Mimico,1260000,43.607998,-79.496994,37 B ELMA ST,Toronto
3016,Windfields,2088000,43.739819,-79.358345,9 Cicada Crt,Toronto
3017,Woburn,649000,43.772247,-79.223053,89 Mountland Dr,Toronto
3018,Rexdale,528888,43.723045,-79.603409,22 MARE CRES,Toronto
3019,Downtown,38000,43.642578,-79.3769,16 Harbour St,Toronto
3020,Toronto,749000,43.708004,-79.499847,3 UPWOOD AVE,Toronto
3021,Rexdale,550000,43.716431,-79.572281,45 Brydon Dr,Toronto
3022,Downtown,749000,43.648685,-79.388634,29 NELSON ST,Toronto
3023,Birch Cliff,1119800,43.684292,-79.27916,14 Elmview Dr,Toronto
3024,Alderwood,1299000,43.595139,-79.545746,43B Foch Ave,Toronto
3025,Willowdale,1180000,43.779171,-79.417351,19B Finch Ave,Toronto
3026,Alderwood,1289000,43.606544,-79.54483,463 Valermo Dr,Toronto
3027,Downtown,205000,43.64732,-79.402374,609 Queen St,Toronto
