Index,AreaName,Price ($),lat,lng,Address,City
5053,Midtown Toronto,79000,43.682308,-79.423828,630 ST CLAIR AVE W,Toronto
5054,Woburn,69000,43.758801,-79.229645,#1 - 3495 LAWRENCE AVE E,Toronto
5055,Midtown Toronto,329900,43.717091,-79.429459,#405 - 3000 BATHURST ST,Toronto
5056,Woburn,343800,43.780197,-79.250015,#2838 - 68 CORPORATE DR,Toronto
5057,St. Andrew - Windfields,109000,43.75095,-79.401886,33 B THE LINKS RD,Toronto
5058,Willowdale,2999888,43.760998,-79.410202,#516 -51- 4789 YONGE ST,Toronto
5059,Humber Bay,760000,43.623608,-79.484077,#4403 - 36 PARK LAWN RD,Toronto
5060,Newtonbrook,378800,43.78067,-79.418343,#522 - 25 GREENVIEW AVE,Toronto
5061,Rexdale,319500,43.731674,-79.576454,#315 - 80 ESTHER LORRIE DR,Toronto
5062,Woburn,266800,43.78167,-79.247215,#3516 - 36 LEE CENTRE DR,Toronto
5063,Weston,225000,43.698143,-79.513771,#1808 - 1 Hickory Tree Rd,Toronto
5064,Silverthorn,624900,43.692989,-79.474442,2071 KEELE ST,Toronto
5065,Downtown,30000,43.640163,-79.378647,#P6187 - 55 Harbour Sq,Toronto
5066,Silverthorn,659900,43.679874,-79.469025,45 LAVENDER RD,Toronto
5067,Woburn,749999,43.755661,-79.234169,4 FELICITY DR,Toronto
5068,Midtown Toronto,199000,43.670078,-79.393288,#Main F- 154 CUMBERLAND ST,Toronto
5069,Princess Margaret,85000,43.67519,-79.555496,#108 - 201 LLOYD MANOR RD,Toronto
5070,Midtown Toronto,1395000,43.686676,-79.399445,#1417 - 111 ST CLAIR AVE W,Toronto
5071,Agincourt,279900,43.779205,-79.281517,#2012 - 181 VILLAGE GREEN SQ,Toronto
5072,Parkdale,330000,43.635578,-79.441345,#2706 - 2167 LAKE SHORE BLVD,Toronto
5073,Bayview Village,488000,43.765575,-79.386047,#1202 - 18 KENASTON GDNS,Toronto
5074,Mimico,525000,43.624306,-79.480461,#3504 - 2175 LAKE SHORE BLVD W,Toronto
5075,York University Heights,419000,43.764915,-79.487801,#13 - 1270 FINCH AVE W,Toronto
5076,Humber Bay,1599000,43.633606,-79.489639,58 CANNON RD,Toronto
5077,Downsview,799999,43.719894,-79.513771,15 B DALLNER RD,Toronto
5078,Toronto,1189000,43.696083,-79.508209,1634 WESTON RD,Toronto
5079,West Hill,649000,43.775249,-79.192978,69 WEIR CRES,Toronto
5080,Leaside,2549000,43.715466,-79.369461,517 BROADWAY AVE,Toronto
5081,Leaside,2200000,43.703876,-79.36483,874 MILLWOOD RD,Toronto
5082,Eatonville,270000,43.640301,-79.562302,#1205 - 6 Eva Rd,Toronto
5083,Nortown,1799000,43.730038,-79.431122,124 BARSE ST,Toronto
5084,Parkdale,2200000,43.63681,-79.432549,153 DUNN AVE,Toronto
5085,Downtown,568000,43.642509,-79.377365,#1204 - 33 Bay St,Toronto
5086,Mimico,1350000,43.621059,-79.501091,2 EVANS AVE,Toronto
5087,Morningside Heights,649900,43.822536,-79.217674,11 Knowles Dr,Toronto
