SCHOOL NAME,ADDRESS,CITY,POSTAL CODE,FSA
Cliffside,27 East Haven Drive,Scarborough,M1N 1M1,M1N
ALPHA II Alternative School,1141 Bloor Street West,Toronto,M6H 1M9,M6H
Karen Kain School of the Arts,60 Berl Avenue,Etobicoke,M8Y 3C7,M8Y
Tumpane,48 Tumpane Street,North York,M3M 1L8,M3M
George Anderson,30 George Anderson Drive,North York,M6M 2Y8,M6M
Africentric Alternative School,1430 Sheppard Avenue West,North York,M3M 2W9,M3M
Rivercrest,30 Harefield Drive,Etobicoke,M9W 4C9,M9W
Hollywood,360 Hollywood Avenue,North York,M2N 3L4,M2N
da Vinci School,33 Robert Street,Toronto,M5S 2K2,M5S
Hawthorne II Bilingual Alternative,50 Essex Street,Toronto,M6G 1T3,M6G
Parkfield,31 Redgrave Drive,Etobicoke,M9R 3T9,M9R
The Grove Community School,108 Gladstone Avenue,Toronto,M6J 3L2,M6J
Essex,50 Essex Street,Toronto,M6G 1T3,M6G
Ossington/Old Orchard,380 Ossington Avenue,Toronto,M6J 3A5,M6J
Shoreham Public Sports and Wellness Academy,31 Shoreham Drive,North York,M3N 2S6,M3N
Harwood,50 Leigh Street,York,M6N 3X3,M6N
Equinox Holistic Alternative School,151 Hiawatha Road,Toronto,M4L 2Y1,M4L
Oakdale Park,315 Grandravine Drive,North York,M3N 1J5,M3N
Allenby,391 St Clements Avenue,Toronto,M5N 1M2,M5N
Huron Street,541 Huron Street,Toronto,M5R 2R6,M5R
Boys' Leadership Academy at The Elms,45 Golfdown Drive,Etobicoke,M9W 2H8,M9W
John Fisher,40 Erskine Avenue,Toronto,M4P 1Y2,M4P
Cedarbrook,56 Nelson Street,Scarborough,M1J 2V6,M1J
Girls' Leadership Academy at Highland Heights,35 Glendower Circuit,Agincourt,M1T 2Z3,M1T
Parkside Elementary School,401 Cedarvale Avenue,East York,M4C 4K7,M4C
Calico,35 Calico Drive,North York,M3L 1V5,M3L
Valleyfield,35 Saskatoon Drive,Etobicoke,M9P 2E8,M9P
Vocal Music Academy at Heather Heights,80 Slan Avenue,Scarborough,M1G 3B5,M1G
West Rouge,401 Friendship Avenue,West Hill,M1C 2X8,M1C
Vocal Music Academy at Ryerson Community School,96 Denison Avenue,Toronto,M5T 1E4,M5T
Hilltop,35 Trehorne Drive,Etobicoke,M9P 1N8,M9P
Glenview Senior,401 Rosewell Avenue,Toronto,M4R 2B5,M4R
Beverley School,64 Baldwin Street,Toronto,M5T 1L4,M5T
Pape Avenue,220 Langley Avenue,Toronto,M4K 1B9,M4K
Claireville,350 Silverstone Drive,Etobicoke,M9V 3J4,M9V
Heritage Park,80 Old Finch Avenue,Scarborough,M1B 5J2,M1B
Thorncliffe Park,80 Thorncliffe Park Drive,East York,M4H 1K3,M4H
Fisherville Sr,425 Patricia Avenue,North York,M2R 2N1,M2R
Maurice Cody,364 Belsize Drive,Toronto,M4S 1N2,M4S
Humbercrest,14 Saint Marks Road,York,M6S 2H7,M6S
Woburn,40 Dormington Drive,Scarborough,M1G 3N2,M1G
Highfield,85 Mount Olive Drive,Etobicoke,M9V 2C9,M9V
Islington,44 Cordova Avenue,Etobicoke,M9A 2H5,M9A
Lambton-Kingsway,525 Prince Edward Drive,Etobicoke,M8X 2M6,M8X
Hillcrest Community School,44 Hilton Avenue,Toronto,M5R 3E6,M5R
Broadacres,45 Crendon Drive,Etobicoke,M9C 3G6,M9C
Victoria Village,88 Sweeney Drive,North York,M4A 1T7,M4A
The Elms,45 Golfdown Drive,Etobicoke,M9W 2H8,M9W
Grenoble,9 Grenoble Drive,North York,M3C 1C3,M3C
William J McCordic School,45 Balfour Avenue,Toronto,M4C 1T4,M4C
Willow Park,45 Windover Drive,Scarborough,M1G 1P1,M1G
Tam O'Shanter,21 King Henrys Boulevard,Agincourt,M1T 2V3,M1T
Walter Perry,45 Falmouth Avenue,Scarborough,M1K 4M7,M1K
Manhattan Park,90 Manhattan Drive,Scarborough,M1R 3V8,M1R
Charles G Fraser,79 Manning Avenue,Toronto,M6J 2K6,M6J
Cresthaven,46 Cresthaven Drive,North York,M2H 1M1,M2H
Brian,95 Brian Drive,North York,M2J 3Y6,M2J
Lanor,450 Lanor Avenue,Etobicoke,M8W 2S1,M8W
Oriole Park,80 Braemar Avenue,Toronto,M5P 2L4,M5P
Bellmere,470 Brimorton Drive,Scarborough,M1H 2E6,M1H
John A Leslie,459 Midland Avenue,Scarborough,M1N 4A7,M1N
North Preparatory,1100 Spadina Road,Toronto,M5N 2M6,M5N
Heather Heights,80 Slan Avenue,Scarborough,M1G 3B5,M1G
Clinton Street,460 Manning Avenue,Toronto,M6G 2V7,M6G
Kingsview Village,1 York Road,Etobicoke,M9R 3C8,M9R
