Index,AreaName,Price ($),lat,lng,Address,City
1221,Downtown,1699000,43.659836,-79.384956,#12 - 761 Bay St,Toronto
1222,Victoria Village,599500,43.730347,-79.328224,#402 - 18 Concorde Pl,Toronto
1223,Newtonbrook,1339900,43.783802,-79.406174,135 Bishop Ave,Toronto
1224,Rexdale,115000,43.722031,-79.543945,#902 - 236 Albion Rd,Toronto
1225,Niagara,234850,43.63673,-79.400505,#605 - 600 Fleet St,Toronto
1226,Little Portugal,299900,43.641697,-79.423431,#309 - 36 Lisgar St,Toronto
1227,Morningside,449200,43.790234,-79.197525,743 Military Tr,Toronto
1228,Downtown,1490000,43.648827,-79.385551,#2505 - 180 University Ave,Toronto
1229,Downtown,588000,43.642273,-79.372704,#929 - 29 Queens Quay,Toronto
1230,Willowdale,928000,43.768574,-79.389618,#Th115 - 399 Spring Garden Ave,Toronto
1231,The Queensway,309900,43.625927,-79.504417,##211 - 760 The Queensway,Toronto
1232,Midtown Toronto,1985000,43.686703,-79.438545,350-352 Oakwood Ave,Toronto
1233,Humberlea,219000,43.732304,-79.537003,#1006 - 3077 Weston Rd,Toronto
1234,Downsview,145000,43.737915,-79.51136,#327 - 2645 Jane St,Toronto
1235,The Beach,1890000,43.670952,-79.295052,2237 Queen St,Toronto
1236,High Park North,1995000,43.653122,-79.476166,292 Kennedy Ave,Toronto
1237,The Beach,1890000,43.670952,-79.295052,2237 Queen St,Toronto
1238,Midtown Toronto,899990,43.72353,-79.379761,2166 Bayview Ave,Toronto
1239,Mimico,1120000,43.625542,-79.477242,#2601 - 80 Marine Parade Dr,Toronto
1240,Scarborough Village,212000,43.744812,-79.214561,#1002 - 3380 Eglinton Ave,Toronto
1241,Hillcrest Village,1499980,43.800339,-79.352699,9 Rollingwood Dr,Toronto
1242,Newtonbrook,1450000,43.78537,-79.406464,29 Harnish Cres,Toronto
1243,Midtown Toronto,439000,43.670319,-79.394432,#805 - 155 Yorkville Ave,Toronto
1244,Humber Summit,919000,43.754292,-79.578156,12 Emily Ave,Toronto
1245,Port Union,724900,43.776131,-79.13604,49 Wharfside Lane,Toronto
1246,Downtown,479900,43.643764,-79.401352,#1103 - 38 Stewart St,Toronto
1247,Niagara,364900,43.636963,-79.404671,#1357 - 209 Fort York Blvd,Toronto
1248,Malvern,114900,43.803925,-79.216507,#105 - 8 Silverbell Grve,Toronto
1249,Downtown,474000,43.647224,-79.391098,#712 - 21 Widmer St,Toronto
1250,Midtown Toronto,368800,43.66983,-79.414742,#211 - 31 Olive Ave,Toronto
1251,Mimico,324990,43.625542,-79.477242,#311 - 80 Marine Parade Dr,Toronto
1252,West Hill,175000,43.775818,-79.182098,##5-213 - 50 Old Kingston Rd,Toronto
1253,Little Italy,3500000,43.654957,-79.415512,640 College St,Toronto
1254,Mimico,384900,43.625118,-79.478767,#103 - 60 Annie Craig Dr,Toronto
1255,L'Amoreaux,799000,43.801441,-79.320969,31 Hildenboro Sq,Toronto
1256,Eatonville,999900,43.648071,-79.542839,1 Lochway Crt,Toronto
1257,Downtown,471000,43.640816,-79.395538,#1505 - 25 Capreol Crt,Toronto
1258,Toronto,220000,43.8269,-79.27565,#513 - 160 Alton Towers Circ,Toronto
1259,Midtown Toronto,2150000,43.68668,-79.393684,1404 Yonge St,Toronto
1260,Willowdale,369000,43.767471,-79.41127,#602 - 21 Hillcrest Ave,Toronto
1261,Pape Village,299999,43.690639,-79.341721,#510 - 280 Donlands Ave,Toronto
