,AreaName,Price ($),lat,lng,Address,City
2273,Downtown,429900,43.639889000000004,-79.390404,#710 - 5 MARINER TERR,Toronto
2274,Downtown,278500,43.652489,-79.389626,#618 - 80 ST PATRICK ST,Toronto
2275,Leslieville,765000,43.666988,-79.327621,110 HILTZ AVE,Toronto
2276,Downtown,599999,43.649246000000005,-79.375755,#502 - 22 LEADER LANE,Toronto
2277,Downtown,399000,43.664845,-79.385933,#304 - 24 WELLESLEY ST,Toronto
2278,Downtown,509000,43.653973,-79.388565,#1910 - 426 UNIVERSITY AVE,Toronto
2279,Downtown,498000,43.645984999999996,-79.389938,#2401 - 8 MERCER ST,Toronto
2280,Niagara,379800,43.635681,-79.398674,#218 - 650 QUEENS QUAY,Toronto
2281,Downtown,675000,43.650082,-79.35797099999999,#417 - 70 DISTILLERY LANE,Toronto
2282,Downtown,798880,43.669643,-79.380608,#4804 - 101 CHARLES ST E,Toronto
2283,Downtown,524900,43.648029,-79.37406899999999,#808 - 55 FRONT ST E,Toronto
2284,Downtown,497000,43.667915,-79.375679,#703 - 500 SHERBOURNE ST,Toronto
2285,Downtown,435000,43.649055,-79.370361,#328 - 109 FRONT ST E,Toronto
2286,Downtown,315000,43.664265,-79.37545,#501 - 40 HOMEWOOD AVE,Toronto
2287,Downtown,439900,43.640526,-79.397102,#636 - 15 ICEBOAT TERR,Toronto
2288,Downtown,389000,43.669609,-79.384773,#1002 - 35 HAYDEN ST,Toronto
2289,Downtown,429900,43.643485999999996,-79.392303,#615 - 352 FRONT ST W,Toronto
2290,Midtown Toronto,3288000,43.677563,-79.380089,27 SCARTH RD,Toronto
2291,Downtown,438000,43.657104,-79.374214,#3805 - 181 DUNDAS ST E,Toronto
2292,Downtown,580000,43.660103,-79.385086,#3711 - 763 BAY ST,Toronto
2293,The Beach,1200000,43.672385999999996,-79.291595,35 DUART PARK RD,Toronto
2294,Midtown Toronto,491900,43.677021,-79.406387,#502 - 377 MADISON AVE,Toronto
2296,Midtown Toronto,999990,43.723293,-79.380356,#11 - 50 HARGRAVE LANE,Toronto
2297,Silverthorn,825000,43.680763,-79.469574,41 HILLARY AVE,Toronto
2298,Lambton Baby Point,486900,43.648071,-79.486664,#307 - 2 OLD MILL DR,Toronto
2299,Midtown Toronto,1299000,43.722865999999996,-79.380157,#15 - 40 HARGRAVE LANE,Toronto
2300,Lambton Baby Point,478800,43.648243,-79.486626,#615 - 1 OLD MILL DR,Toronto
2301,Downsview,159907,43.737915,-79.51136,#506 - 2645 JANE ST,Toronto
2302,Willowdale,482888,43.770878,-79.411964,#1706 - 238 DORIS AVE,Toronto
2303,Newtonbrook,348000,43.783112,-79.415199,#1209 - 5765 YONGE ST,Toronto
2304,Agincourt,939000,43.789047,-79.284752,68 AGINCOURT DR,Toronto
2305,Woburn,599000,43.765667,-79.219574,8 BARNES CRES,Toronto
2306,Old East York,719000,43.689983000000005,-79.307259,19 GATWICK AVE,Toronto
2307,Toronto,849900,43.653225,-79.383186,618 O&#39;CONNOR DR,Toronto
2308,Newtonbrook,1690000,43.780803999999996,-79.41912099999999,41 HENDON AVE,Toronto
2309,Humber Summit,55000,43.749264000000004,-79.559441,#17 A - 2528 FINCH AVE W,Toronto
2310,Tam O'Shanter,533900,43.7897,-79.30526,#2 - 671 HUNTINGWOOD DR,Toronto
2311,Henry Farm,309900,43.774895,-79.345955,#108 - 70 FOREST MANOR RD,Toronto
2312,Woodbine - Lumsden,1150000,43.691368,-79.311615,117 KING EDWARD AVE,Toronto
2313,Humber Bay,419900,43.624373999999996,-79.48554200000001,#2710 - 90 PARK LAWN RD,Toronto
2314,Old East York,265000,43.696163,-79.292953,#2511 - 5 MASSEY SQ,Toronto
2315,Toronto,369000,43.695999,-79.507645,1623 WESTON RD,Toronto
2316,Ionview,717000,43.735332,-79.275482,14 RICHOME CRT,Toronto
