SCHOOL NAME,ADDRESS,CITY,POSTAL CODE,FSA,RANK (OUT OF 3046),RATINGS
St Richard,960 Bellamy Road North,Scarborough,M1H 1H1,M1H,1171.0,6.6
St Robert,70 Bainbridge Avenue,Toronto,M3H 2K2,M3H,796.0,7.1
St Roch,174 Duncanwoods Drive,Toronto,M9L 2E3,M9L,2932.0,2.5
Sacred Heart,75 Hupfield Trail,Scarborough,M1B 4S3,M1B,2491.0,4.5
Santa Maria,25 Avon Avenue,Toronto,M6N 4X8,M6N,2735.0,3.7
St Sebastian,717 Brock Avenue,Toronto,M6H 3P1,M6H,1.0,10.0
St Simon,24 Strathburn Boulevard,Toronto,M9M 2K3,M9M,1686.0,5.9
St Stephen,55 Golfdown Drive,Toronto,M9W 2H8,M9W,2835.0,3.3
St Sylvester,260 Silver Springs Blvd,Scarborough,M1V 1S4,M1V,388.0,7.8
Stella Maris,31 Ascot Avenue,Toronto,M6E 1E6,M6E,2735.0,3.7
St Theresa Shrine,2665 Kingston Road,Scarborough,M1M 1M2,M1M,1686.0,5.9
St Thomas Aquinas,636 Glenholme Avenue,Toronto,M6E 3G9,M6E,796.0,7.1
St Thomas More,2300 Ellesmere Road,Scarborough,M1G 3M7,M1G,1686.0,5.9
St Timothy,25 Rochelle Crescent,Scarborough,M2J 1Y3,M2J,796.0,7.1
Blessed Margherita of Citta Castello,108 Spenvalley Dr,North York,M3L 1Z5,M3L,796.0,7.1
The Divine Infant,30 Ingleton Boulevard,Scarborough,M1V 3H7,M1V,250.0,8.1
The Holy Trinity,6 Colonel Samuel Smith Park Dr,Toronto,M8V 4B7,M8V,796.0,7.1
St John,780 Kingston Rd ,Toronto,M4E 1R7,M4E,865.0,7.0
St Michael's Choir,66 Bond St ,Toronto,M5B 1X2,M5B,84.0,8.8
St Francis of Assisi,80 Clinton St ,Toronto,M6G 2Y3,M6G,740.0,7.2
St Jean de Brebeuf,101 Dean Park Road,Scarborough,M1B 2X2,M1B,740.0,7.2
St Ursula,215 Livingston Road,Scarborough,M1E 1L8,M1E,2680.0,3.9
St Victor,20 Bernadine Street,Scarborough,M1P 4M2,M1P,1549.0,6.1
St Vincent de Paul,116 Fermanagh Avenue,Toronto,M6R 1M2,M6R,796.0,7.1
Venerable John Merlini,123 Whitfield Avenue,Toronto,M9L 1G9,M9L,1171.0,6.6
St Wilfrid,1685 Finch Avenue West,Toronto,M3J 2G8,M3J,2263.0,5.0
Blessed John XXIII,175 Grenoble Dr,Toronto,M3C 3E7,M3C,1096.0,6.7
St. Andre,36 Yvonne Ave,Toronto,M3L 1C9,M3L,1470.0,6.2
Transfiguration of our Lord,55 Ludstone Dr,Toronto,M9R 2J2,M9R,1549.0,6.1
St Rose of Lima,3220 Lawrence Ave E,Toronto,M1H1A4,M1H,1686.0,5.9
St Luke,319 Ossington Ave ,Toronto,M6J 3A6,M6J,1769.0,5.8
Blessed Kateri Tekakwitha,70 Margaret Avenue,Toronto,M2J 4C5,M2J,1844.0,5.7
Pope Paul,270 Laughton Ave,Toronto,M6N 2X5,M6N,2100.0,5.3
Our Lady of Guadalupe Catholic,3105 Don Mills Rd,Toronto,M2J 3C2,M2J,2315.0,4.9
St Bruno Catholic,402 Melita Crescent ,Toronto,M6G 3X6,M6G,2400.0,4.7
