,AreaName,Price ($),lat,lng,Address,City,Postal Code,FSA
85,Willowdale,318800,43.757355,-79.409355,#1009 - 18 HARRISON GARDEN BLVD,Toronto,M2N 7K6,M2N
86,Milliken,339000,43.800636,-79.30703,#207 - 25 SILVER SPRINGS BLVD,Toronto,M1W 2S4,M1W
87,Bendale,279800,43.773582,-79.258919,#1508 - 50 BRIAN HARRISON WAY,Toronto,M1P 5J4,M1P
88,Wexford - Maryvale,439888,43.748531,-79.286057,#1502 - 1328 BIRCHMOUNT RD,Toronto,M1R 3A7,M1R
89,Islington - City Centre West,339900,43.64397,-79.528503,#2204 - 3 Michael Power Pl,Toronto,M9A 0A3,M9A
90,Swansea,799999,43.636528,-79.470863,#119 - 107 THE QUEENSWAY AVE,Toronto,M6S 5B6,M6S
91,Midtown Toronto,454800,43.670319,-79.394432,#1916 - 155 YORKVILLE AVE,Toronto,M5R 1C4,M5R
92,Entertainment District,619900,43.641491,-79.382607,#902 - 19 GRAND TRUNK CRES,Toronto,M5J 3A3,M5J
93,Midtown Toronto,789800,43.708694,-79.394318,#603 - 141 ROEHAMPTON AVE,Toronto,M4P 1P9,M4P
94,Humber Bay Shores,1088000,43.631355,-79.474609,#4104 - 2045 Lake Shore Blvd,Toronto,M8V 2Z6,M8V
95,Thornhill,349000,43.830166,-79.467117,#2707 - 33 SHORE BREEZE DR,Toronto,L4J 8R6,L4J
96,Midtown Toronto,2395000,43.673172,-79.389687,#103 - 32 DAVENPORT RD,Toronto,M5R 0B5,M5R
97,Cliffside,579000,43.712502,-79.246597,2575 KINGSTON RD,Toronto,M1M 1M1,M1M
98,Bendale,309800,43.772751,-79.260788,#3202 - 83 BOROUGH DR,Toronto,M1P 5E4,M1P
99,Midtown Toronto,299900,43.672596,-79.388634,#709 - 8 SCOLLARD ST,Toronto,M5R 1M2,M5R
100,Henry Farm,328800,43.774746,-79.336929,#1706 - 275 YORKLAND RD,Toronto,M2J 1S3,M2J
101,Downtown,747888,43.668777,-79.383995,#4002 - 45 CHARLES ST,Toronto,M4Y 1S2,M4Y
102,Downtown,379800,43.637386,-79.398201,#2903 - 38 DAN LECKIE WAY,Toronto,M5V 2V6,M5V
103,Midtown Toronto,1549000,43.705547,-79.385895,401 HILLSDALE AVE E,Toronto,M4S 1T9,M4S
104,Willowdale,659900,43.763882,-79.410576,#1814 - 30 GREENFIELD AVE,Toronto,M2N 6N3,M2N
105,The Danforth,749000,43.684986,-79.308685,37 IONA AVE,Toronto,M4C 4K9,M4C
106,Bayview Village,369000,43.765289,-79.382339,#2005 - 3 REAN DR,Toronto,M2K 3C2,M2K
107,Steeles,358000,43.814705,-79.325653,#727 - 75 BAMBURGH CIRC,Toronto,M1W 3W1,M1W
108,Downtown,58000,43.665749,-79.385513,#Parkin- 5 ST JOSEPH ST,Toronto,M4Y 0B6,M4Y
109,Agincourt,380000,43.807129,-79.26754,#1602 - 5001 FINCH AVE E,Toronto,M1S 5J9,M1S
110,Henry Farm,374500,43.773922,-79.345726,#413 - 62 FOREST MANOR RD,Toronto,M2J 0B6,M2J
111,Leaside,1250000,43.718243,-79.376419,#Th19 - 20 BURKEBROOK PL,Toronto,M4G 0A1,M4G
112,Downtown,1279900,43.643799,-79.399605,#615 - 75 PORTLAND ST,Toronto,M5V 2M9,M5V
113,Downtown,328000,43.640381,-79.397339,#2512 - 21 ICEBOAT TERR,Toronto,M5V 4A9,M5V
114,Downtown,499900,43.667709,-79.386383,# 2407 - 75 ST NICHOLAS ST,Toronto,M4Y 0A5,M4Y
115,Leslieville,499000,43.658466,-79.339561,528 Eastern Ave,Toronto,M4M 1C7,M4M
116,Wilson Heights,329900,43.734478,-79.446472,#533 - 525 Wilson Ave,Toronto,M3H 1V1,M3H
117,Rexdale,279900,43.75901,-79.588539,#201 - 10 MARKBROOK LANE,Toronto,M9V 5E3,M9V
118,Wilson Heights,1198000,43.745205,-79.440338,16 Erica Ave,Toronto,M3H 3H2,M3H
119,Midtown Toronto,3649000,43.708195,-79.376076,1715 BAYVIEW AVE,Toronto,M4G 3C1,M4G
120,Sunnylea,1899000,43.6399,-79.506279,172 HUMBERVALE BLVD,Toronto,M8Y 2J4,M8Y
121,Downsview,1285000,43.732979,-79.480469,70 Cuffley Crescent,Toronto,M3K 1X5,M3K
122,Willowdale,2500000,43.764912,-79.395638,336 SHEPPARD AVE E,Toronto,M2N 3B4,M2N
123,Scarborough Junction,119900,43.72599,-79.265015,#524 - 665 Kennedy Rd,Toronto,M1K 2B8,M1K
124,Rouge,329900,43.802887,-79.169403,#816 - 10 DEAN PARK RD,Toronto,M1B 3H1,M1B
125,Rockcliffe - Smythe,649900,43.676338,-79.504738,120 Clairton Cres,Toronto,M6N 2M7,M6N
127,Alderwood,1148000,43.602165,-79.544388,496 -498 HORNER AVE,Toronto,M8W 2B8,M8W
128,Leaside,1895000,43.704941,-79.364235,214 SUTHERLAND DR,Toronto,M4G 1J1,M4G
129,Nortown,2248000,43.72076,-79.425728,487 GLENGARRY AVE,Toronto,M5M 1E9,M5M
130,Humberlea,849000,43.731441,-79.534714,58 RON ATTWELL ST,Toronto,M9M 0B9,M9M
131,Downtown,559000,43.661793,-79.384506,#Ph-01 - 21 GRENVILLE ST,Toronto,M4Y 0B9,M4Y
132,Midtown Toronto,2850000,43.687328,-79.418327,611 LONSDALE RD,Toronto,M5P 1R8,M5P
133,Downtown,429000,43.645985,-79.389938,#2912 - 8 MERCER ST,Toronto,M5V 0C4,M5V
134,Bayview Village,385000,43.766758,-79.382477,#102 - 15 REAN DR,Toronto,M2K,M2K
135,Rexdale,359000,43.73069,-79.611,#1002 - 6 HUMBERLINE DR,Toronto,M9W 6X8,M9W
136,Little Portugal,325990,43.641697,-79.423431,#2006 E - 36 LISGAR ST,Toronto,M6J 0A9,M6J
137,Toronto,360000,43.640335,-79.424477,#1726 - 38 JOE SHUSTER WAY,Toronto,M6K 0A5,M6K
139,Kennedy Park,725000,43.727692,-79.269615,14 Miniot Circ,Toronto,M1K 2K2,M1K
140,Don Valley Village,1298000,43.790825,-79.345268,201 KINGSLAKE RD,Toronto,M2J 3G5,M2J
141,Rexdale,139900,43.722031,-79.543945,#1511 - 236 ALBION RD,Toronto,M9W 6A6,M9W
142,Willowdale,388900,43.777996,-79.415718,#303 - 5500 YONGE ST,Toronto,M2N 7L1,M2N
143,Downtown,399000,43.640057,-79.393967,#2608 - 15 FORT YORK BLVD,Toronto,M5V 3Y4,M5V
144,Downtown,628000,43.656731,-79.383461,#2401 - 633 BAY ST,Toronto,M5G 1C9,M5G
145,Danforth Village,778000,43.688488,-79.301041,2584 DANFORTH AVE,Toronto,M4C 1L3,M4C
146,Downtown,749888,43.668777,-79.383995,#4102 - 45 CHARLES ST,Toronto,M4Y 1S2,M4Y
147,Downtown,385000,43.639782,-79.397949,#1041 - 151 DAN LECKIE WAY,Toronto,M5V 4B2,M5V
148,Bayview Village,304900,43.765186,-79.38472,#409 - 17 BARBERRY PL,Toronto,M2K,M2K
149,Humberlea,899900,43.718468,-79.537506,2783 WESTON RD,Toronto,M9M 0A9,M9M
150,Willowdale,448800,43.773094,-79.415596,#1108 - 30 CANTERBURY PL,Toronto,M2N 1X8,M2N
151,Jane and Finch,299900,43.754002,-79.514374,#120 - 36 VENETIAN CRES,Toronto,M3N 2M5,M3N
152,Bridlewood,288000,43.79488,-79.313713,#408 - 10 STONE HILL CRT,Toronto,M1W 2X8,M1W
153,Malvern,509000,43.808193,-79.209816,15 FRONTIER PKWY,Toronto,M1B 4G4,M1B
154,Old East York,219000,43.696163,-79.292953,#2216 - 5 MASSEY SQ,Toronto,M4C 5M9,M4C
155,Silverstone,399999,43.742641,-79.600517,#32 - 433 SILVERSTONE DR,Toronto,M9V 3K7,M9V
156,Jane and Finch,558000,43.743279,-79.521927,130 LAURA RD,Toronto,M3N 2A1,M3N
157,Humber Bay,1275000,43.637432,-79.48526,12 RIVER VALLEY CRES,Toronto,M8Y 1V2,M8Y
158,Rexdale,649000,43.717667,-79.552467,39 RINGWAY CRES,Toronto,M9W 1X2,M9W
159,Swansea,395000,43.637009,-79.467133,#16 - 93 THE QUEENSWAY AVE,Toronto,M6S 5A7,M6S
160,Willowdale,428800,43.775146,-79.412666,#808 - 880 GRANDVIEW WAY,Toronto,M2N 7A2,M2N
161,Downtown,478000,43.650372,-79.382347,#3309 - 70 TEMPERANCE ST,Toronto,M5H 3V5,M5H
162,Beach Hill,20000,43.673386,-79.318268,30 EASTWOOD RD,Toronto,M4L 2C3,M4L
163,Downtown,1095000,43.65765,-79.376762,#701 - 155 DALHOUSIE ST,Toronto,M5B 2R2,M5B
164,Greenwood - Coxwell,649000,43.670719,-79.326134,38 RICHARD Avenue,Toronto,M4L 1W9,M4L
165,Downtown,685000,43.667358,-79.377502,#17 - 6 WELLESLEY PL,Toronto,M4Y 2K4,M4Y
166,Downtown,1990000,43.657421,-79.40509,376 COLLEGE ST,Toronto,M5T 2N9,M5T
167,Edenbridge - Humber Valley,5695000,43.665371,-79.517471,5 EDGEHILL RD,Toronto,M9A 4N1,M9A
168,Brockton Village,719900,43.659225,-79.437096,#2709 - 1 BLOOR ST,Toronto,M6H 1M9,M6H
170,Willowdale,308000,43.779659,-79.414589,#206 - 22 OLIVE AVE,Toronto,M2N 7G6,M2N
172,Long Branch,1350000,43.591526,-79.539986,78 THIRTY NINTH ST,Toronto,M8W 1B8,M8W
173,Cliffcrest,679900,43.718128,-79.235306,89 EASTVILLE AVE,Toronto,M1M 2N8,M1M
174,Eatonville,273000,43.639694,-79.563148,#827 - 2 EVA RD,Toronto,M9C 4Z5,M9C
175,Henry Farm,299900,43.769733,-79.345482,#1102 - 10 Parkway Forest Dr,Toronto,M2J 1L3,M2J
177,Leaside,1250000,43.718243,-79.376419,#Th19 - 20 BURKEBROOK PL,Toronto,M4G 0A1,M4G
178,Dufferin Grove,75000,43.660145,-79.433525,1089 BLOOR ST,Toronto,M6H 3J1,M6H
179,Tam O'Shanter,498888,43.785709,-79.293724,#1101 - 168 BONIS AVE,Toronto,M1T 3V6,M1T
180,Brookhaven,799999,43.694416,-79.496788,62 TOUCHSTONE DR,Toronto,M6M 5K9,M6M
181,Harbord Village,359900,43.658035,-79.401947,9 San Roberto Way,Toronto,M5S 2K2,M5S
182,Earlscourt,550000,43.679153,-79.457504,69 GILBERT AVE,Toronto,M6E 4W2,M6E
183,Brookhaven - Amesbury,725000,43.695908,-79.49736,66 MILLENNIUM DR,Toronto,M6M 5K4,M6M
184,Emery,579900,43.746143,-79.546143,62 WINDHILL CRES,Toronto,M9M 1Y2,M9M
185,The Beach,849000,43.672913,-79.305916,1 HASLETT AVE,Toronto,M4L 3R1,M4L
186,St. Andrew - Windfields,4500000,43.757694,-79.391495,51 MONTRESSOR DR,Toronto,M2P 1Z3,M2P
