,AreaName,Price ($),lat,lng,Address,City,Postal Code,FSA
105,Mimico,554900,43.624969,-79.478081,#3107 - 59 Annie Craig Dr,Toronto,M8V 0C4,M8V
107,Midtown Toronto,425000,43.703773,-79.399658,#716 - 60 Berwick Ave,Toronto,M5P 1H1,M5P
108,Midtown Toronto,155000,43.706657,-79.427071,#209 - 2550 Bathurst St,Toronto,M6B 2Z2,M6B
109,Old East York,599000,43.695709,-79.313354,237 HOLBORNE AVE,Toronto,M4C 2S2,M4C
110,Newtonbrook,448800,43.780666,-79.446335,#2704 - 100 Antibes Dr,Toronto,M2R 3N1,M2R
111,Armdale,59000,43.831604,-79.25634,#1 &amp;2 - 125 SELECT AVE,Toronto,M1V 4A6,M1V
112,Toronto,589768,43.823498,-79.264908,9 GREEN SPRING DR,Toronto,M1V 2A9,M1V
113,The Beach,974000,43.674232,-79.307144,#508 - 60 Haslett Ave,Toronto,M4L 3R2,M4L
114,Rouge,899900,43.794567,-79.139496,#20 - 67 KIRKDENE DR,Toronto,M1C 2V6,M1C
115,Willowdale,440000,43.768181,-79.390923,#314 - 21 Clairtrell Rd,Toronto,M2N 5J6,M2N
116,Clairlea - Birchmount,699900,43.705116,-79.275864,94 JOHN BELL CRES,Toronto,M1L 0G5,M1L
117,Agincourt,339800,43.807129,-79.26754,#2008 - 5001 Finch Ave,Toronto,M1S 5J9,M1S
118,Weston,29000,43.70039,-79.51757,1926 Weston Rd,Toronto,M9N 1W4,M9N
119,Brockton Village,148800,43.651302,-79.440269,256-258 Lansdowne Ave,Toronto,M6H 3X9,M6H
120,Swansea,2295000,43.647377,-79.489571,16 Brule Terr,Toronto,M6S 1M3,M6S
121,Highland Creek,1790000,43.786411,-79.168175,6 FALCON LANE,Toronto,M1C 5J5,M1C
122,Swansea,449000,43.636173,-79.470757,#2410 - 105 The Queensway Ave,Toronto,M6S 5B5,M6S
123,Downtown,315000,43.637386,-79.398201,#317 - 38 Dan Leckie Way,Toronto,M5V 2V6,M5V
124,Old East York,80000,43.686436,-79.347542,941 Pape Ave,Toronto,M4K 3V4,M4K
125,Old Mill,1799000,43.651253,-79.493347,#902 - 30 OLD MILL RD,Toronto,M8X 0A5,M8X
126,Woburn,499000,43.745411,-79.224709,113 PORCHESTER DR,Toronto,M1J 2R4,M1J
127,Downsview,199000,43.717987,-79.511543,55 Beverly Hills Dr,Toronto,M3L 1A2,M3L
128,Newtonbrook,499900,43.780727,-79.419991,#11 - 49 HENDON AVE,Toronto,M2M 1A4,M2M
129,Thorncliffe Park,70000,43.705597,-79.345993,##1 - 45 Overlea Blvd,Toronto,M4H 1C3,M4H
131,Willowdale,409900,43.757988,-79.403625,#628 - 120 Harrison Garden Blvd,Toronto,M2N 0H1,M2N
132,Midtown Toronto,259900,43.687771,-79.396629,#100 - 60 St Clair Ave,Toronto,M4V 1M7,M4V
133,Downtown,298000,43.643326,-79.399147,#605 - 508 Wellington St,Toronto,M5V 1E3,M5V
134,Willowdale,315000,43.778439,-79.416069,#1107 - 5508 YONGE ST,Toronto,M2N 7L2,M2N
136,Midtown Toronto,85000,43.662281,-79.425575,737 Ossington Ave,Toronto,M6G 1M2,M6G
137,Rexdale,900000,43.713955,-79.557671,22 * REXDALE BLVD,Toronto,M9W 5Z3,M9W
138,Downsview,1299000,43.718197,-79.511131,51 Beverly Hills Dr,Toronto,M3L 1A2,M3L
139,Armdale,300,43.830791,-79.24955,#F-105 - 865 Passmore Ave,Toronto,M1X 0A2,M1X
140,Jane and Finch,299900,43.76395,-79.497574,#513 - 31 FOUR WINDS DR,Toronto,M3J 1K7,M3J
141,Toronto,289900,43.7248,-79.307953,#401 - 71 Jonesville Cres,Toronto,M4A,M4A
142,Armdale,300,43.830791,-79.24955,#F-106 - 865 Passmore Ave,Toronto,M1X 0A2,M1X
143,Agincourt,588000,43.785206,-79.277573,#B1 - 4227 Sheppard Ave,Toronto,M1S 5H5,M1S
144,Weston,352800,43.701572,-79.520187,#4603 - 1 King St,Toronto,M9N 1K8,M9N
145,Willowdale,388900,43.757996,-79.409592,#712 - 1 AVONDALE AVE,Toronto,M2N 7J1,M2N
146,Downtown,359900,43.660316,-79.376144,#1013 - 117 GERRARD ST E,Toronto,M5B 2L4,M5B
147,York University Heights,520000,43.751213,-79.464142,#106 - 1 De Boers Dr,Toronto,M3J 3E5,M3J
148,Bayview Village,304900,43.766296,-79.384674,#303 - 19 BARBERRY PL,Toronto,M2K 1G9,M2K
150,Rouge,1100900,43.794567,-79.139496,#10 - 67 KIRKDENE DR,Toronto,M1C 2V6,M1C
151,Downtown,344900,43.639343,-79.399841,#212 - 170 FORT YORK BLVD,Toronto,M5V 0E6,M5V
153,Jane and Finch,149000,43.745918,-79.515724,#1011 - 5 FRITH RD,Toronto,M3N 1E9,M3N
154,Downtown,340000,43.659237,-79.382904,#44 - 384 YONGE ST,Toronto,M5B 1S9,M5B
155,Riverdale,1895000,43.677761,-79.350021,469 DANFORTH AVE,Toronto,M4K 1P1,M4K
156,Willowdale,355000,43.778435,-79.41333,#1007 - 18 HOLMES AVE,Toronto,M2N 0E1,M2N
157,Midtown Toronto,1500000,43.672688,-79.388756,#101 - 10 Scollard St,Toronto,M5R 1E9,M5R
158,Midtown Toronto,150000,43.672398,-79.377792,#03 - 366 BLOOR ST E,Toronto,M4W 1H4,M4W
159,Downtown,379888,43.638477,-79.397987,#305 - 75 QUEENS WHARF RD,Toronto,M5V 0J8,M5V
160,Mimico,195000,43.617649,-79.520203,300 EVANS AVE,Toronto,M8Z 6C8,M8Z
161,Downtown,14500000,43.665607,-79.368355,531 PARLIAMENT ST,Toronto,M4X 1P3,M4X
162,Old Town,549888,43.653217,-79.368378,#818 - 323 RICHMOND ST E,Toronto,M5A 4S8,M5A
163,Downtown,389000,43.644699,-79.390953,#404 - 263 WELLINGTON ST W,Toronto,M5V 3E6,M5V
164,Downtown,349888,43.644012,-79.401154,#928 - 621 KING ST W,Toronto,M5V 1M5,M5V
165,Islington - City Centre West,379888,43.64286,-79.527222,#202 - 8 Fieldway Rd,Toronto,M8Z 0C3,M8Z
166,Downtown,379900,43.643486,-79.392303,#1201 - 352 FRONT ST W,Toronto,M5V 0K3,M5V
167,Agincourt,1058000,43.798389,-79.284401,#126 /12- 3250 MIDLAND AVE,Toronto,M1S 3K7,M1S
